Fecha_prueba|Matricula|Temp_Amb|Humr_Amb|Marca|Modelo|Cilindraje|Combustible|Kilometraje|Fecha_ITV|CDA|Temp_motor|RPM_motor|HC|CO|CO2|O2|RPM_Cru|HC_Cru|CO_Cru|CO2_Cru|O2_Cru
2021-09-14 00:00:00|9165 PZC|21.0|40.8|MARCA 2|2015|999|GNV_gasolina|168480.0|2021-02-12|EMPRESA I|85.0|907|89|0.38|11.7|3.4|2665|110|0.45|10.9|1.7
2021-09-03 00:00:00|7248 QWG|19.0|45.6|MARCA 3|2015|1200|GNV_gasolina|176580.0|2020-12-06|EMPRESA C|73.0|853|98|0.14|10.0|1.8|2416|92|0.35|13.1|3.0
2021-09-07 00:00:00|6335 CQI|20.8|47.4|MARCA 5|2020|1200|Gasolina|27540.0|2021-03-08|EMPRESA H|87.0|853|100|0.2|14.9|3.3|2662|104|0.5|13.8|1.9
2021-09-20 00:00:00|0200 ZVX|19.8|44.0|MARCA 2|2021|1400|GNV_gasolina|6720.0|2021-02-20|EMPRESA G|71.0|814|71|0.39|10.8|2.8|2587|150|0.39|12.4|3.9
2021-09-27 00:00:00|0260 TBJ|18.4|44.2|MARCA 2|2001|1400|GNV_gasolina|572400.0|2021-02-04|EMPRESA E|84.0|854|125|0.35|10.7|3.1|2661|77|0.28|15.7|1.8
2021-09-25 00:00:00|7852 NIV|22.1|42.2|MARCA 2|2005|1400|GNV_gasolina|388800.0|2021-01-14|EMPRESA D|87.0|831|116|0.45|11.7|2.1|2672|92|0.31|11.5|1.3
2021-09-05 00:00:00|9629 YYR|18.4|40.1|MARCA 2|2002|1200|GNV|513000.0|2021-04-12|EMPRESA J|87.0|861|131|0.33|10.8|1.7|2657|95|0.11|13.1|1.4
2021-09-16 00:00:00|4842 FXV|20.9|53.8|MARCA 2|2019|999|GNV|49140.0|2020-12-28|EMPRESA F|77.0|800|115|0.29|14.7|1.2|2529|111|0.48|15.4|2.6
2021-09-04 00:00:00|6142 NJR|19.6|51.8|MARCA 5|2003|999|GNV|520020.0|2020-12-31|EMPRESA B|72.0|836|124|0.23|10.0|2.9|2461|57|0.39|10.2|3.6
2021-09-10 00:00:00|7883 UYI|22.8|43.7|MARCA 3|2020|1200|GNV|27270.0|2020-12-28|EMPRESA I|84.0|890|77|0.1|10.6|2.4|2308|61|0.44|14.0|2.3
2021-09-05 00:00:00|5448 VBM|21.0|48.3|MARCA 1|2013|1400|GNV|220320.0|2021-02-28|EMPRESA G|88.0|891|91|0.35|11.1|1.9|2333|82|0.32|10.3|3.9
2021-09-15 00:00:00|7461 QXI|19.5|41.3|MARCA 3|2020|1400|GNV_gasolina|25650.0|2021-02-20|EMPRESA H|88.0|804|115|0.2|12.3|2.2|2512|117|0.44|13.5|2.9
2021-09-26 00:00:00|8734 KDF|22.0|44.3|MARCA 3|2002|1400|GNV_gasolina|507870.0|2020-12-20|EMPRESA G|76.0|919|74|0.1|15.9|2.9|2583|138|0.37|15.2|3.1
2021-09-21 00:00:00|8727 JNQ|20.0|46.6|MARCA 2|2014|999|GNV_gasolina|194670.0|2021-01-01|EMPRESA E|72.0|822|140|0.15|14.3|2.9|2677|91|0.42|12.9|3.4
2021-09-12 00:00:00|5459 MHM|21.0|49.7|MARCA 1|2002|1400|GNV|461700.0|2020-11-17|EMPRESA B|80.0|839|96|0.25|15.2|3.8|2441|140|0.25|14.8|2.4
2021-09-16 00:00:00|9038 OVX|22.4|48.7|MARCA 2|2002|1400|Gasolina|477090.0|2021-02-26|EMPRESA E|75.0|893|73|0.34|11.9|1.1|2474|78|0.18|13.5|1.4
2021-09-16 00:00:00|1988 IPU|20.6|52.6|MARCA 4|2015|1400|Gasolina|173340.0|2021-01-04|EMPRESA H|82.0|929|124|0.4|14.2|1.5|2665|137|0.32|12.7|1.0
2021-09-28 00:00:00|6140 QTS|20.6|45.1|MARCA 5|2016|1400|GNV|130950.0|2021-02-03|EMPRESA J|73.0|868|128|0.23|15.7|2.3|2405|84|0.24|10.6|3.9
2021-09-01 00:00:00|8788 JDC|20.4|51.6|MARCA 5|2004|1200|GNV_gasolina|422280.0|2021-04-13|EMPRESA F|75.0|840|77|0.44|13.2|1.3|2556|128|0.38|12.9|2.0
2021-09-16 00:00:00|1532 QMG|20.6|50.7|MARCA 2|2010|999|GNV_gasolina|288090.0|2021-03-08|EMPRESA C|74.0|867|127|0.33|12.4|1.2|2517|147|0.5|13.4|1.1
2021-09-04 00:00:00|2195 PTE|22.7|53.5|MARCA 1|2015|1400|Gasolina|178200.0|2021-02-23|EMPRESA B|71.0|867|137|0.37|13.5|1.6|2476|99|0.42|14.0|3.0
2021-09-20 00:00:00|2312 XGM|20.1|49.1|MARCA 2|2006|999|GNV|409050.0|2020-12-20|EMPRESA H|79.0|894|80|0.21|13.9|2.0|2597|61|0.23|15.9|1.2
2021-09-23 00:00:00|0062 SSL|21.8|50.8|MARCA 3|2002|999|Gasolina|492480.0|2021-04-04|EMPRESA H|75.0|856|119|0.37|10.9|2.9|2488|76|0.38|13.7|2.7
2021-09-28 00:00:00|3703 OUE|22.3|51.3|MARCA 2|2014|1400|GNV|181440.0|2021-02-06|EMPRESA C|84.0|838|150|0.27|12.8|3.6|2314|137|0.18|11.0|1.8
2021-09-05 00:00:00|8673 ALZ|18.3|55.5|MARCA 2|2010|1400|Gasolina|294030.0|2021-04-03|EMPRESA I|76.0|848|118|0.41|14.2|3.2|2600|93|0.36|14.6|1.0
2021-09-18 00:00:00|5599 UOF|22.8|41.0|MARCA 1|2002|1200|GNV|548910.0|2021-03-14|EMPRESA D|75.0|921|94|0.29|12.4|3.4|2378|55|0.23|12.1|1.4
2021-09-18 00:00:00|3530 TZD|19.6|44.6|MARCA 2|2010|1400|Gasolina|288090.0|2021-04-10|EMPRESA B|82.0|862|141|0.25|13.6|1.0|2661|95|0.39|10.3|1.3
